customer_id,first_name,last_name,email,phone,registration_date,country,age,status
CUST_0001,David,Brown,,,2025-08-07,Canada,,UNKNOWN
CUST_0002,Chris,Johnson,customer2@email.com,+1-555-704-7912,2020-07-28,USA,26.0,Active
CUST_0003,Sarah,Smith,customer3@email.com,+1-555-674-4257,2021-03-23,Australia,23.0,Suspended
CUST_0004,Tom,Brown,customer4@email.com,+1-555-559-5557,2023-01-21,USA,62.0,Active
CUST_0005,Lisa,Jones,customer5@email.com,+1-555-259-4527,2022-05-15,UK,62.0,Active
CUST_0006,Jane,Garcia,customer6@email.com,+1-555-967-6635,2022-02-17,France,23.0,Inactive
CUST_0007,Emma,Johnson,customer7@email.com,+1-555-487-2291,2020-03-29,France,69.0,Inactive
CUST_0008,Anna,Garcia,customer8@email.com,+1-555-691-4150,2023-07-11,Australia,71.0,Active
CUST_0009,Sarah,Jones,customer9@email.com,+1-555-181-4814,2023-09-16,USA,20.0,Inactive
CUST_0010,Lisa,Williams,customer10@email.com,+1-555-479-6820,2022-07-17,Canada,35.0,Suspended
CUST_0011,Jane,Williams,customer11@email.com,+1-555-646-5010,2023-12-08,Canada,35.0,Inactive
CUST_0012,Chris,Brown,customer12@email.com,+1-555-801-6313,2021-07-06,USA,42.0,Active
CUST_0013,Lisa,Miller,customer13@email.com,+1-555-374-2084,2020-03-06,Canada,70.0,Suspended
CUST_0014,Sarah,Davis,customer14@email.com,+1-555-505-8517,2021-10-06,Canada,74.0,Inactive
CUST_0015,Chris,Jones,customer15@email.com,+1-555-864-8019,2021-05-20,France,26.0,Inactive
CUST_0016,Mike,Davis,customer16@email.com,,2021-03-25,USA,41.0,Active
CUST_0017,Mike,Williams,customer17@email.com,+1-555-911-7916,2020-08-12,France,73.0,Active
CUST_0018,Anna,Davis,customer18@email.com,+1-555-641-5119,2022-02-20,France,42.0,Active
CUST_0019,Chris,Jones,customer19@email.com,+1-555-887-6573,2020-08-22,USA,61.0,Inactive
CUST_0020,Emma,Smith,customer20@email.com,+1-555-839-5315,2020-11-19,France,45.0,Active
CUST_0021,David,Brown,customer21@email.com,+1-555-256-7126,2020-08-05,Canada,,Suspended
CUST_0022,John,Garcia,customer22@email.com,+1-555-600-1319,2022-12-22,USA,79.0,Inactive
CUST_0023,Sarah,Smith,customer23@email.com,+1-555-346-2290,2021-09-21,USA,74.0,Suspended
CUST_0024,Chris,Williams,customer24@email.com,+1-555-231-8787,2020-05-21,France,49.0,Active
CUST_0025,Anna,Miller,customer25@email.com,+1-555-316-9835,2022-12-16,Australia,34.0,Suspended
CUST_0026,David,Miller,,+1-555-787-7118,2023-12-31,Germany,30.0,Suspended
CUST_0027,Sarah,Brown,customer27@email.com,+1-555-165-6539,2020-09-04,USA,46.0,Suspended
CUST_0028,Anna,Brown,customer28@email.com,+1-555-107-2163,2021-04-16,Australia,53.0,Suspended
CUST_0029,Jane,Smith,customer29@email.com,+1-555-980-6413,2021-04-13,USA,21.0,Suspended
CUST_0030,Emma,Brown,customer30@email.com,+1-555-652-3167,2021-07-24,Australia,33.0,Suspended
CUST_0031,Emma,Miller,customer31@email.com,,2025-08-14,Canada,54.0,Active
CUST_0032,Tom,Garcia,customer32@email.com,+1-555-533-7735,2023-09-11,Germany,24.0,Suspended
CUST_0033,Jane,Smith,customer33@email.com,+1-555-512-6559,2023-10-11,USA,21.0,Active
CUST_0034,Chris,Davis,customer34@email.com,+1-555-243-7912,2021-01-24,Canada,30.0,Inactive
CUST_0035,Jane,Davis,customer35@email.com,+1-555-927-2604,2021-05-26,USA,47.0,Suspended
CUST_0036,Jane,Brown,customer36@email.com,+1-555-270-7658,2020-01-31,Germany,52.0,Inactive
CUST_0037,John,Williams,customer37@email.com,+1-555-488-1035,2022-04-01,Germany,31.0,Inactive
CUST_0038,David,Miller,customer38@email.com,+1-555-813-8973,2022-07-20,Canada,77.0,Active
CUST_0039,John,Smith,customer39@email.com,+1-555-865-6138,2021-03-21,USA,36.0,Active
CUST_0040,Chris,Williams,customer40@email.com,+1-555-158-9320,2022-09-03,USA,55.0,Active
CUST_0041,Jane,Brown,customer41@email.com,+1-555-513-2964,2023-05-03,France,,UNKNOWN
CUST_0042,Anna,Smith,customer42@email.com,+1-555-734-2343,2023-03-31,Germany,33.0,Suspended
CUST_0043,Chris,Garcia,customer43@email.com,+1-555-367-4346,2023-03-03,Australia,55.0,Suspended
CUST_0044,David,Miller,customer44@email.com,+1-555-234-5915,2021-05-03,Germany,38.0,Inactive
